Year,tmax,tmin,"fog,days","rain,mm","sun,min","sun,hours",city
2025-10,15.8,9.7,0,52.8,4230,70.5,London
2025-11,12.6,6.6,5,45.6,4302,71.7,London
2025-12,10.4,4.8,2,53.8,4026,67.1,London
2021-01,6.5,1,12,70.8,4356,72.6,Newcastle upon Tyne
2021-02,4.7,-1.3,15,53.4,3366,56.1,Newcastle upon Tyne
2021-03,10,3,3,31.7,8556,142.6,Newcastle upon Tyne
2021-04,11,3.4,4,37.8,10164,169.4,Newcastle upon Tyne
2021-05,12.9,5,1,45.9,9468,157.8,Newcastle upon Tyne
2021-06,17.7,9,0,22.2,12354,205.9,Newcastle upon Tyne
2021-07,21.3,10.6,0,44.2,11004,183.4,Newcastle upon Tyne
2021-08,18.4,10,0,49.1,8472,141.2,Newcastle upon Tyne
2021-09,15.3,7.6,0,69.2,6996,116.6,Newcastle upon Tyne
2021-10,12.6,5,1,58.7,5934,98.9,Newcastle upon Tyne
2021-11,11.5,5.2,2,61.9,3528,58.8,Newcastle upon Tyne
2021-12,8.1,2.4,7,66.7,3630,60.5,Newcastle upon Tyne
2022-01,5.9,0.3,14,75.2,3564,59.4,Newcastle upon Tyne
2022-02,8.3,2.6,4,62.1,5622,93.7,Newcastle upon Tyne
2022-03,8.1,0.9,14,39.5,9648,160.8,Newcastle upon Tyne
2022-04,12.3,3.6,8,27.5,10404,173.4,Newcastle upon Tyne
2022-05,15.3,5.8,2,31.2,11208,186.8,Newcastle upon Tyne
2022-06,17.3,8.3,0,16.2,10452,174.2,Newcastle upon Tyne
2022-07,21.6,11.7,0,24.5,12594,209.9,Newcastle upon Tyne
2022-08,23.1,11.3,0,14.2,14988,249.8,Newcastle upon Tyne
2022-09,16.7,8.7,0,86.2,7350,122.5,Newcastle upon Tyne
2022-10,15.6,8,2,25.2,7374,122.9,Newcastle upon Tyne
2022-11,10,4,5,116.1,2904,48.4,Newcastle upon Tyne
2022-12,4.5,-0.9,15,87.6,1806,30.1,Newcastle upon Tyne
2023-01,5.1,1.9,5,29.9,456,7.6,Newcastle upon Tyne
2023-02,5.7,-0.7,19,66.7,5424,90.4,Newcastle upon Tyne
2023-03,5.4,1.2,9,25.9,1758,29.3,Newcastle upon Tyne
2023-04,11.5,3.7,8,33.8,6624,110.4,Newcastle upon Tyne
2023-05,12.6,3.9,3,36,11418,190.3,Newcastle upon Tyne
2023-06,18.2,7.9,0,8.6,13020,217,Newcastle upon Tyne
2023-07,20.1,10.2,0,46.8,10920,182,Newcastle upon Tyne
2023-08,20.7,10.6,0,71.8,10776,179.6,Newcastle upon Tyne
2023-09,16.4,8.8,0,24.6,6222,103.7,Newcastle upon Tyne
2023-10,14.3,6.9,0,36.3,6444,107.4,Newcastle upon Tyne
2023-11,7.9,1.8,13,77.3,5256,87.6,Newcastle upon Tyne
2023-12,5.1,0.4,13,62.5,2370,39.5,Newcastle upon Tyne
2024-01,5.3,-0.3,19,13.8,2682,44.7,Newcastle upon Tyne
2024-02,9,2.2,3,71.6,5808,96.8,Newcastle upon Tyne
2024-03,11.8,3.9,4,12.4,8802,146.7,Newcastle upon Tyne
2024-04,12.7,4.1,4,5.8,8130,135.5,Newcastle upon Tyne
2024-05,14.6,4.9,4,54.5,11754,195.9,Newcastle upon Tyne
2024-06,16,9,0,174.4,6204,103.4,Newcastle upon Tyne
2024-07,20.8,11.1,0,67,12564,209.4,Newcastle upon Tyne
2024-08,22,12.3,0,48.1,11172,186.2,Newcastle upon Tyne
2024-09,17.2,8,0,11.3,10272,171.2,Newcastle upon Tyne
2024-10,13.1,5.4,3,31.7,7212,120.2,Newcastle upon Tyne
2024-11,10.2,5,2,68.2,1980,33,Newcastle upon Tyne
2024-12,7.9,2.7,4,82.8,1596,26.6,Newcastle upon Tyne
2025-01,6.8,1.4,6,92,2652,44.2,Newcastle upon Tyne
2025-02,10.9,4.3,5,6.1,4992,83.2,Newcastle upon Tyne
2025-03,11,3.1,7,59.3,5418,90.3,Newcastle upon Tyne
2025-04,10.6,3.4,5,151,7080,118,Newcastle upon Tyne
2025-05,16.3,7.3,0,71.8,10554,175.9,Newcastle upon Tyne
2025-06,16.8,9.1,0,97.8,7620,127,Newcastle upon Tyne
2025-07,18.5,10.5,0,52.6,8190,136.5,Newcastle upon Tyne
2025-08,18.7,11,0,44.9,9516,158.6,Newcastle upon Tyne
2025-09,16.7,10.3,0,53.4,5334,88.9,Newcastle upon Tyne
2025-10,12.8,5.9,1,96.9,7188,119.8,Newcastle upon Tyne
2025-11,8.3,1.7,6,64.9,4566,76.1,Newcastle upon Tyne
2025-12,7.8,1.5,8,27.3,2442,40.7,Newcastle upon Tyne
2021-01,5.9,0.8,10,152.2,3510,58.5,Middlesbrough
2021-02,8,2.1,10,73.6,5022,83.7,Middlesbrough
2021-03,11.2,4.4,2,22.2,7614,126.9,Middlesbrough
2021-04,10.2,1.1,14,11,15018,250.3,Middlesbrough
2021-05,13.6,5.4,2,71.1,12864,214.4,Middlesbrough
2021-06,19.4,10.8,0,37.9,13704,228.4,Middlesbrough
2021-07,20.6,13.2,0,67.2,12834,213.9,Middlesbrough
2021-08,19.2,12.8,0,44.8,8640,144,Middlesbrough
2021-09,19.9,12.2,0,43.1,9192,153.2,Middlesbrough
2021-10,15.2,8.7,0,106.5,6756,112.6,Middlesbrough
2021-11,11,5.5,0,66.1,4824,80.4,Middlesbrough
2021-12,8.2,3.4,2,48.6,2472,41.2,Middlesbrough
2022-01,8.3,2.2,8,13,6900,115,Middlesbrough
2022-02,10.1,3.3,1,61.3,7518,125.3,Middlesbrough
2022-03,11.4,3.8,1,42.7,11100,185,Middlesbrough
2022-04,12.4,4.7,3,24.4,11010,183.5,Middlesbrough
2022-05,16.9,8.7,0,40.2,11550,192.5,Middlesbrough
2022-06,20.1,10.6,0,19.4,14658,244.3,Middlesbrough
2022-07,22.8,13.7,0,43.5,11412,190.2,Middlesbrough
2022-08,22.2,12.6,0,15.7,14886,248.1,Middlesbrough
2022-09,17.9,10.8,0,69.4,8220,137,Middlesbrough
2022-10,15.9,9,0,55.1,8508,141.8,Middlesbrough
2022-11,11.2,6.1,1,97,3948,65.8,Middlesbrough
2022-12,6.7,1.2,12,90.6,3096,51.6,Middlesbrough
2023-01,8,2.7,8,34,5496,91.6,Middlesbrough
2023-02,10.3,4.6,0,19.1,5490,91.5,Middlesbrough
2023-03,10.2,3.5,5,54.1,6690,111.5,Middlesbrough
2023-04,11.6,4.8,2,73.9,9738,162.3,Middlesbrough
2023-05,16,8.3,0,16.7,10614,176.9,Middlesbrough
2023-06,19.9,11.1,0,49.5,13458,224.3,Middlesbrough
2023-07,20.6,12.4,0,121.9,11958,199.3,Middlesbrough
2023-08,20,12.5,0,97.1,11238,187.3,Middlesbrough
2023-09,19.8,12,0,52.6,8268,137.8,Middlesbrough
2023-10,14.4,8.2,0,128.5,4056,67.6,Middlesbrough
2023-11,9.9,5,0,98.9,2970,49.5,Middlesbrough
2023-12,9,3.9,4,103.1,2418,40.3,Middlesbrough
2024-01,7.1,2.8,6,82.2,3210,53.5,Middlesbrough
2024-02,10.5,4.5,2,67.4,4536,75.6,Middlesbrough
2024-03,10.8,4.7,3,57.8,6582,109.7,Middlesbrough
2024-04,12.7,5.8,1,92.9,7746,129.1,Middlesbrough
2024-05,16.7,9.8,0,91.6,8622,143.7,Middlesbrough
2024-06,18.8,10.2,0,29.9,12876,214.6,Middlesbrough
2024-07,20.1,11.9,0,116.2,11226,187.1,Middlesbrough
2024-08,21.6,12.8,0,10.1,12198,203.3,Middlesbrough
2024-09,15.7,10.2,0,125.6,8004,133.4,Middlesbrough
2024-10,14.8,8,0,42.9,8070,134.5,Middlesbrough
2024-11,10.2,4.4,5,43.9,4356,72.6,Middlesbrough
2024-12,9.7,4.8,0,59.2,2400,40.0,Middlesbrough
2025-01,6.4,1,10,65.1,5382,89.7,Middlesbrough
2025-02,8.2,3,3,22.9,4194,69.9,Middlesbrough
2025-03,12.2,3.6,5,14.5,11478,191.3,Middlesbrough
2025-04,14.5,4.8,1,15.3,14238,237.3,Middlesbrough
2025-05,16.3,8.2,0,22.5,16224,270.4,Middlesbrough
2025-06,22.7,12.2,0,30.3,14964,249.4,Middlesbrough
2025-07,21.6,12.9,0,56.3,12108,201.8,Middlesbrough
2025-08,22,12.9,0,21.3,12186,203.1,Middlesbrough
2025-09,18.3,10,0,94.9,10482,174.7,Middlesbrough
2025-10,14.4,8.5,0,51.5,6006,100.1,Middlesbrough
2025-11,11.1,6,3,149.5,3624,60.4,Middlesbrough
2025-12,9.2,5.2,2,59.5,2526,42.1,Middlesbrough
2021-01,5,-0.1,14,133,2382,39.7,Leeds
2021-02,7.2,1.8,10,99.6,3984,66.4,Leeds
2021-03,10.4,4.2,1,71.6,6498,108.3,Leeds
2021-04,11.2,1.1,11,15.6,12948,215.8,Leeds
2021-05,14.1,5.3,0,123.6,8766,146.1,Leeds
2021-06,19.9,10.5,0,22.4,10350,172.5,Leeds
2021-07,21.8,13.2,0,106.4,11370,189.5,Leeds
2021-08,19.1,12.4,0,61,7542,125.7,Leeds
2021-09,19.1,11.9,0,52.4,7920,132.0,Leeds
2021-10,14.7,8.5,0,92.8,5184,86.4,Leeds
2021-11,10.3,4.5,4,43.2,3636,60.6,Leeds
2021-12,7.7,3,5,88.5,1698,28.3,Leeds
2022-01,7.6,2.2,9,38.3,4452,74.2,Leeds
2022-02,9,3.1,1,198.3,4326,72.1,Leeds
2022-03,11.6,3.2,5,38.6,9738,162.3,Leeds
2022-04,13.1,4.4,4,30.8,10236,170.6,Leeds
2022-05,16.5,8.7,0,48.2,8514,141.9,Leeds
2022-06,19.4,9.9,0,86.8,11010,183.5,Leeds
2022-07,21.8,13.4,0,43.4,10290,171.5,Leeds
2022-08,22.7,12.6,0,18.4,13224,220.4,Leeds
2022-09,18,10.1,0,62.6,7278,121.3,Leeds
2022-10,15.2,8.8,0,97.2,6912,115.2,Leeds
2022-11,10.8,5.5,3,113.6,2364,39.4,Leeds
2022-12,6.2,0.4,13,69.2,3018,50.3,Leeds
2023-01,7.7,2.1,8,99.8,4164,69.4,Leeds
2023-02,9.3,3.6,5,16,4038,67.3,Leeds
2023-03,9.6,3.3,7,88.4,4800,80.0,Leeds
2023-04,12.4,4.5,3,66.6,8784,146.4,Leeds
2023-05,17.3,7.9,0,22.8,11544,192.4,Leeds
2023-06,21.6,11.6,0,40.4,14568,242.8,Leeds
2023-07,19.2,12.2,0,128.2,8046,134.1,Leeds
2023-08,19.7,12.6,0,74.8,9252,154.2,Leeds
2023-09,20.4,12.3,0,76,7986,133.1,Leeds
2023-10,14.1,8.2,0,160.2,4254,70.9,Leeds
2023-11,9.3,4.2,5,91.6,4158,69.3,Leeds
2023-12,8.6,4,7,189.2,1698,28.3,Leeds
2024-01,6.7,2.1,6,106.5,3192,53.2,Leeds
2024-02,9.7,4.2,5,90.8,2586,43.1,Leeds
2024-03,10.2,4.2,2,94.8,5088,84.8,Leeds
2024-04,12.5,5.2,3,107.4,6582,109.7,Leeds
2024-05,17.9,10.2,0,83.8,7482,124.7,Leeds
2024-06,17.7,9.8,0,55.2,9558,159.3,Leeds
2024-07,19.9,11.7,0,52,9510,158.5,Leeds
2024-08,20,12.5,0,29.4,9360,156.0,Leeds
2024-09,16,9.9,0,122.4,6480,108.0,Leeds
2024-10,14.1,7.6,0,63.8,5754,95.9,Leeds
2024-11,9.5,3.4,9,55.8,3432,57.2,Leeds
2024-12,9.2,4.5,0,115.8,1602,26.7,Leeds
2025-01,5.5,0.1,14,89,3918,65.3,Leeds
2025-02,7.6,2.4,4,35.6,3426,57.1,Leeds
2025-03,11.8,3.3,6,27.6,9918,165.3,Leeds
2025-04,15.4,5.2,0,9.4,13578,226.3,Leeds
2025-05,18,7.4,0,33.2,14610,243.5,Leeds
2025-06,21.1,12.1,0,34.2,12150,202.5,Leeds
2025-07,21.6,13.3,0,64.6,10482,174.7,Leeds
2025-08,21.3,13.2,0,12.6,10656,177.6,Leeds
2025-09,17.4,9.4,0,123,8376,139.6,Leeds
2025-10,13.5,8.3,0,90.1,4098,68.3,Leeds
2025-11,10.5,4.8,6,117.6,3624,60.4,Leeds
2025-12,8.8,4.1,2,86,2214,36.9,Leeds
2021-01,5.2,0.9,12,145.2,2532,42.2,Manchester
2021-02,7.5,1.9,9,84.8,3972,66.2,Manchester
2021-03,11.1,4.4,2,68.2,5670,94.5,Manchester
2021-04,11.5,1.9,8,5.6,11808,196.8,Manchester
2021-05,14.9,6.2,0,130.2,7554,125.9,Manchester
2021-06,20.6,11.6,0,21.6,10416,173.6,Manchester
2021-07,22.8,14.1,0,69.4,10260,171.0,Manchester
2021-08,19.8,13,0,30.8,5952,99.2,Manchester
2021-09,20.2,12.6,0,46.4,7776,129.6,Manchester
2021-10,14.9,9.2,0,83,5946,99.1,Manchester
2021-11,10.4,5.7,2,52,3198,53.3,Manchester
2021-12,8.1,3.5,3,102.4,1890,31.5,Manchester
2022-01,8,2.6,3,25.8,5142,85.7,Manchester
2022-02,9.6,3.5,1,182.6,4824,80.4,Manchester
2022-03,11.9,3.7,3,46.4,9000,150.0,Manchester
2022-04,13.7,5.1,2,27.6,9918,165.3,Manchester
2022-05,17.8,9.6,0,28.4,8298,138.3,Manchester
2022-06,20.4,10.8,0,55,12198,203.3,Manchester
2022-07,23.2,14.5,0,23.8,11268,187.8,Manchester
2022-08,23.9,13.6,0,56.4,14070,234.5,Manchester
2022-09,18.4,11.1,0,50,7488,124.8,Manchester
2022-10,15.6,9.6,0,124,6804,113.4,Manchester
2022-11,10.9,6.6,0,122.8,2262,37.7,Manchester
2022-12,6.2,1.2,11,79.6,3276,54.6,Manchester
2023-01,7.9,2.9,7,82.8,4704,78.4,Manchester
2023-02,9.9,4.5,2,9.4,4638,77.3,Manchester
2023-03,10.1,3.9,6,110.2,4746,79.1,Manchester
2023-04,12.8,5,2,63.8,7620,127.0,Manchester
2023-05,17.9,8.9,0,18.6,11184,186.4,Manchester
2023-06,22.2,12.1,0,35.6,12396,206.6,Manchester
2023-07,20.1,12.6,0,162,6732,112.2,Manchester
2023-08,20.6,13.1,0,54.8,9084,151.4,Manchester
2023-09,20.9,12.8,0,76.6,7668,127.8,Manchester
2023-10,14.9,8.9,0,203.2,4650,77.5,Manchester
2023-11,9.4,5,2,108.2,4086,68.1,Manchester
2023-12,8.8,4.6,5,163.4,1890,31.5,Manchester
2024-01,7,2.6,6,72,3294,54.9,Manchester
2024-02,10.2,4.8,2,91.8,2520,42.0,Manchester
2024-03,11.1,4.4,1,94.4,4536,75.6,Manchester
2024-04,13,5.8,0,86.2,6042,100.7,Manchester
2024-05,18.5,10.5,0,58.4,7050,117.5,Manchester
2024-06,19.1,10.7,0,28.4,8958,149.3,Manchester
2024-07,21.1,12.4,0,86.4,9564,159.4,Manchester
2024-08,21.3,12.7,0,19,8352,139.2,Manchester
2024-09,16.7,10.4,0,143.2,5520,92.0,Manchester
2024-10,14.2,8.1,0,75.8,5016,83.6,Manchester
2024-11,9.6,4.5,7,62.8,3528,58.8,Manchester
2024-12,9.3,4.6,0,118,2544,42.4,Manchester
2025-01,5.7,1,9,100.6,4896,81.6,Manchester
2025-02,7.5,2.6,4,35.4,3582,59.7,Manchester
2025-03,12.6,3.6,3,28.8,10380,173.0,Manchester
2025-04,16.4,5.7,0,10.2,13230,220.5,Manchester
2025-05,18.6,8.2,0,31.8,12642,210.7,Manchester
2025-06,22.6,12.8,0,22.8,11592,193.2,Manchester
2025-07,22.9,14.2,0,48.8,9918,165.3,Manchester
2025-08,22.5,13.6,0,27.4,9552,159.2,Manchester
2025-09,18.4,9.9,0,111.5,8388,139.8,Manchester
2025-10,14.1,9,0,67.2,4410,73.5,Manchester
2025-11,10.8,5.5,4,153.4,3558,59.3,Manchester
2025-12,9.1,4.5,1,91,2214,36.9,Manchester
2021-01,5.1,0.2,16,89.6,3120,52.0,Nottingham
2021-02,7.9,1.4,10,45.6,5016,83.6,Nottingham
2021-03,11,4.2,1,14.8,6438,107.3,Nottingham
2021-04,11.2,1.9,6,5.2,13392,223.2,Nottingham
2021-05,14.5,6.3,0,91.4,9408,156.8,Nottingham
2021-06,19.9,11.9,0,40.2,10578,176.3,Nottingham
2021-07,22.5,13.8,0,82.6,10098,168.3,Nottingham
2021-08,20.3,12.9,0,27.4,6222,103.7,Nottingham
2021-09,20.7,12.4,0,56.4,7740,129.0,Nottingham
2021-10,15.3,9,0,73.4,5886,98.1,Nottingham
2021-11,10.6,4.8,3,21.2,4740,79.0,Nottingham
2021-12,8.3,3.3,3,60.8,2112,35.2,Nottingham
2022-01,7.6,1.7,7,19.6,6174,102.9,Nottingham
2022-02,10,3.2,1,62.6,5136,85.6,Nottingham
2022-03,12.1,3.6,2,41.5,11028,183.8,Nottingham
2022-04,13.9,5.1,3,14.4,11922,198.7,Nottingham
2022-05,17.8,9.3,0,63.8,10386,173.1,Nottingham
2022-06,20.7*,10.9,0,27.6,13230,220.5,Nottingham
2022-07,24.5*,14.1,0,19.6,11394,189.9,Nottingham
2022-08,24.5*,14.2,0,60.8,14994,249.9,Nottingham
2022-09,19.0*,10.7,0,61.2,7674,127.9,Nottingham
2022-10,16.7*,9.4,0,99,8850,147.5,Nottingham
2022-11,11.3*,6.2,0,82.8,2334,38.9,Nottingham
2022-12,6.3*,1.4,12,44.6,4080,68.0,Nottingham
2023-01,8.1,2.2,9,36,5244,87.4,Nottingham
2023-02,9.8,3.3,6,12.6,5418,90.3,Nottingham
2023-03,10.4,3.9,4,75.7,5376,89.6,Nottingham
2023-04,12.7,4.8,1,52.8,10020,167.0,Nottingham
2023-05,17,8.4,0,37,11886,198.1,Nottingham
2023-06,22,12,0,25.4,14250,237.5,Nottingham
2023-07,20.8,12.5,0,108.8,8976,149.6,Nottingham
2023-08,21.1,12.8,0,36.4,10128,168.8,Nottingham
2023-09,21.6,12.6,0,69.6,9414,156.9,Nottingham
2023-10,15.4,9.1,0,165.6,4680,78.0,Nottingham
2023-11,9.9,4.6,2,50.8,5160,86.0,Nottingham
2023-12,8.9,4.4,5,99.4,1650,27.5,Nottingham
2024-01,7.2,2.2,8,38.4,4218,70.3,Nottingham
2024-02,10.9,4.9,1,85.4,3714,61.9,Nottingham
2024-03,11.3,4.5,3,55.2,6030,100.5,Nottingham
2024-04,13.1,5.5,0,64.2,7170,119.5,Nottingham
2024-05,18.2,10,0,66.6,10086,168.1,Nottingham
2024-06,19.2,10.4,0,34,10344,172.4,Nottingham
2024-07,21.2,12.4,0,76.4,10410,173.5,Nottingham
2024-08,22.1,13.2,0,23,9744,162.4,Nottingham
2024-09,17.8,11.1,0,102.6,6780,113.0,Nottingham
2024-10,14.6,8.2,0,58.2,5508,91.8,Nottingham
2024-11,9.6,4.5,4,38,4086,68.1,Nottingham
2024-12,9.3,4.6,0,54.2,2130,35.5,Nottingham
2025-01,5.5,0.3,15,60.4,4452,74.2,Nottingham
2025-02,7.9,2.4,4,25,3768,62.8,Nottingham
2025-03,12.8,3.5,2,16.2,11958,199.3,Nottingham
2025-04,16,5.5,0,12,15300,255.0,Nottingham
2025-05,18.4,8.6,0,27.2,13836,230.6,Nottingham
2025-06,23.4,12.9,0,23.6,13332,222.2,Nottingham
2025-07,23.4,14.3,0,54.8,10830,180.5,Nottingham
2025-08,22.6,13.5,0,18.4,9036,150.6,Nottingham
2025-09,18.9,10.2,0,75.2,8790,146.5,Nottingham
2025-10,14.2,8.7,0,54.4,4128,68.8,Nottingham
2025-11,10.8,5.5,3,129.4,3672,61.2,Nottingham
2025-12,9.1,4,1,73.2,2838,47.3,Nottingham
2021-01,8.5,3.7,5,132.6,3504,58.4,Plymouth
2021-02,9.3,4.8,4,109.6,4230,70.5,Plymouth
2021-03,10.6,5.5,2,41,7212,120.2,Plymouth
2021-04,11.6,4.5,0,6.6,15234,253.9,Plymouth
2021-05,13.2,7.8,0,116.4,10134,168.9,Plymouth
2021-06,17.4,11.7,0,78.2,11478,191.3,Plymouth
2021-07,20,13.7,0,65.4,10638,177.3,Plymouth
2021-08,18.7,13.3,0,36,8658,144.3,Plymouth
2021-09,18.8,13.1,0,107.8,7386,123.1,Plymouth
2021-10,15.4,10.9,0,201.2,5742,95.7,Plymouth
2021-11,11.6,7.7,0,60.8,3126,52.1,Plymouth
2021-12,11.2,8,0,96.4,1848,30.8,Plymouth
2022-01,9.9,4.9,1,63.4,2826,47.1,Plymouth
2022-02,10.8,6.5,0,108.6,3474,57.9,Plymouth
2022-03,11.8,6.5,0,68,10104,168.4,Plymouth
2022-04,12.7,6.9,0,36.8,9624,160.4,Plymouth
2022-05,15.8,9.8,0,45.4,10410,173.5,Plymouth
2022-06,17.9,11.1,0,65.6,13854,230.9,Plymouth
2022-07,20.8,14.1,0,19.6,14454,240.9,Plymouth
2022-08,22.4,14.9,0,23.8,13920,232.0,Plymouth
2022-09,17.8,12.5,0,125.4,7314,121.9,Plymouth
2022-10,16.2,11.5,0,85.8,6450,107.5,Plymouth
2022-11,12.9,8.7,0,213.2,2994,49.9,Plymouth
2022-12,9.1,3.8,5,142.8,4458,74.3,Plymouth
2023-01,9.7,4.9,2,138.8,3468,57.8,Plymouth
2023-02,10,5.2,1,19.4,5634,93.9,Plymouth
2023-03,10.7,6.3,0,150,3888,64.8,Plymouth
2023-04,12.5,7.2,0,80.4,8268,137.8,Plymouth
2023-05,15.8,9.6,0,48.6,16824,280.4,Plymouth
2023-06,19.9,13.8,0,20.4,12984,216.4,Plymouth
2023-07,18.5,13.8,0,113,9012,150.2,Plymouth
2023-08,18.6,14,0,73.4,8142,135.7,Plymouth
2023-09,19.9,14.3,0,72,8118,135.3,Plymouth
2023-10,16,11.5,0,130.2,4878,81.3,Plymouth
2023-11,11.8,7.9,0,154.2,2568,42.8,Plymouth
2023-12,11.2,7.6,2,169.2,1494,24.9,Plymouth
2024-01,8.6,4.3,6,88.6,4008,66.8,Plymouth
2024-02,11.2,7.5,0,189.8,2508,41.8,Plymouth
2024-03,11,6.7,0,141,5022,83.7,Plymouth
2024-04,12.5,7.9,0,114.2,7176,119.6,Plymouth
2024-05,15.9,10.3,0,44.8,10698,178.3,Plymouth
2024-06,16.6,11.3,0,39.2,11682,194.7,Plymouth
2024-07,18.1,12.9,0,74,10020,167.0,Plymouth
2024-08,19,14,0,43,8778,146.3,Plymouth
2024-09,17,12,0,115.4,6360,106.0,Plymouth
2024-10,15.2,10.8,0,120.6,5922,98.7,Plymouth
2024-11,12.6,8.6,0,194.6,2382,39.7,Plymouth
2024-12,10.5,7.1,0,69,912,15.2,Plymouth
2025-01,9.4,4.6,0,152,3618,60.3,Plymouth
2025-02,9.6,5.4,0,91.6,4668,77.8,Plymouth
2025-03,11.4,6,0,34.4,8904,148.4,Plymouth
2025-04,14.6,7.9,0,116.2,13050,217.5,Plymouth
2025-05,16.9,10.1,0,25.2,18204,303.4,Plymouth
2025-06,18.9,13,0,56.8,10308,171.8,Plymouth
2025-07,20.5,14.3,0,44.6,11172,186.2,Plymouth
2025-08,20.5,14.4,0,50.2,11460,191.0,Plymouth
2025-09,17.1,11.4,0,127.2,9012,150.2,Plymouth
2025-10,14.8,10.9,0,102.6,4086,68.1,Plymouth
2025-11,12.8,8.5,0,185,3120,52.0,Plymouth
2025-12,10.4,6,1,208.8,3102,51.7,Plymouth
2021-01,7.5,0.9*,16*,79.4,1764,29.4,Bristol
2021-02,9.5,2.4,11,63.4,3936,65.6,Bristol
2021-03,11.7,2.8,9,27.8,7176,119.6,Bristol
2021-04,12.9,0.7,15,17.2,13488,224.8,Bristol
2021-05,15.1,6.2,4,98.2,9294,154.9,Bristol
2021-06,20.6,11.3,0,42,10332,172.2,Bristol
2021-07,22.9,13.8,0,91,11604,193.4,Bristol
2021-08,20.7,12,0,30.2,7860,131.0,Bristol
2021-09,21.2,11.5,0,44,7122,118.7,Bristol
2021-10,16.4,9.3,0,115.8,6096,101.6,Bristol
2021-11,11.5,3.6,9,12.2,4188,69.8,Bristol
2021-12,10.8,5,3,65.4,1800,30.0,Bristol
2022-01,9,0.5,15,22.4,3990,66.5,Bristol
2022-02,11.2,3.8,4,42.8,4332,72.2,Bristol
2022-03,13.1,3.5,5,49.2,9882,164.7,Bristol
2022-04,14.9,3.8,6,21.2,10224,170.4,Bristol
2022-05,18.1,8.4,0,58.4,10014,166.9,Bristol
2022-06,20.6,9.5,0,70,12654,210.9,Bristol
2022-07,24.3,11.8,0,11.4,12750,212.5,Bristol
2022-08,25.7,12.8,0,15.4,13500,225.0,Bristol
2022-09,19.8,9.9,0,57.4,7338,122.3,Bristol
